family_id	final_status	n	total_n	prop
OG0001079	P	4	31	0.12903225806451613
OG0001079	U	10	31	0.3225806451612903
OG0001115	A	19	157	0.12101910828025478
OG0001115	F	13	157	0.08280254777070063
OG0001115	P	50	157	0.3184713375796178
OG0001115	U	75	157	0.47770700636942676
OG0001127	A	38	190	0.2
OG0001127	F	22	190	0.11578947368421053
OG0001127	P	78	190	0.4105263157894737
OG0001127	U	52	190	0.2736842105263158
OG0001132	A	27	258	0.10465116279069768
OG0001132	P	230	258	0.8914728682170543
OG0001132	U	1	258	0.003875968992248062
OG0001135	A	7	88	0.07954545454545454
OG0001135	P	70	88	0.7954545454545454
OG0001135	U	11	88	0.125
