"og","gene","pseu"
"OG0000228","AL3G46810","AL3G46810_BOR_v1_scaffold_3_copy_1"
"OG0000228","AL3G46810","AL3G46810_NT1_v2_scaffold_3_copy_1"
"OG0000228","AL3G46810","AL3G46810_NT8_v2_fix_scaffold_3_copy_1"
"OG0000228","AL3G46820","AL3G46820_KN006_v1_scaffold_3_copy_1"
"OG0000228","AL3G46820","AL3G46820_MN47_mabs_v3_scaffold_3_copy_1"
"OG0000228","AL3G46820","AL3G46820_WS1_v2_s_scaffold_3_copy_1"
"OG0000228","AL7G45500",NA
"OG0000266","AL6G28990","AL6G28990_PU6_v3_fin_scaffold_6_copy_1"
"OG0000266","AL7G14900",NA
"OG0000266","AL8G13580","AL8G13580_Nla_scaffold_8_copy_1"
"OG0000266","AL8G13710","AL8G13710_NT1_v2_scaffold_8_copy_1"
"OG0000266","AL8G13710","AL8G13710_WS1_v2_s_scaffold_8_copy_1"
"OG0000266","AL8G13740","AL8G13740_BAM12_v2_scaffold_6_copy_1"
"OG0000266","AL8G13740","AL8G13740_KN003hexa_v0_scaffold_7_copy_1"
"OG0000266","AL8G13740","AL8G13740_KN005_v1_scaffold_1_copy_1"
"OG0000266","AL8G13740","AL8G13740_MN47_mabs_v3_scaffold_8_copy_1"
"OG0000266","AL8G13740","AL8G13740_NT12_v2_scaffold_3_copy_1"
"OG0000266","AL8G13740","AL8G13740_NT9_v2_scaffold_6_copy_1"
"OG0000266","AL8G14230","AL8G14230_AL27_v1_scaffold_8_copy_1"
"OG0000266","AL8G14230","AL8G14230_F1-14_scaffold_8_copy_1"
"OG0000266","AL8G14230","AL8G14230_MN47_mabs_v3_scaffold_8_copy_1"
"OG0000266","AL8G14230","AL8G14230_NT1_v2_scaffold_8_copy_1"
"OG0000266","AL8G14320",NA
"OG0000266","AL8G14370","AL8G14370_AL27_v1_scaffold_8_copy_1"
"OG0000266","AL8G14370","AL8G14370_AL27_v1_scaffold_8_copy_2"
"OG0000266","AL8G14370","AL8G14370_F1-14_scaffold_8_copy_1"
"OG0000266","AL8G14370","AL8G14370_MN47_mabs_v3_scaffold_8_copy_2"
"OG0000266","AL8G14370","AL8G14370_NT1_v2_scaffold_8_copy_1"
"OG0000297","AL7G34270","AL7G34270_BAM12_v2_scaffold_7_copy_1"
"OG0000297","AL7G34270","AL7G34270_F1-14_scaffold_6_copy_1"
"OG0000297","AL7G34270","AL7G34270_NT12_v2_scaffold_7_copy_1"
"OG0000297","AL7G34270","AL7G34270_NT8_v2_fix_scaffold_7_copy_1"
"OG0000297","AL7G34270","AL7G34270_NT9_v2_scaffold_7_copy_1"
"OG0000297","AL7G34270","AL7G34270_PU6_v3_fin_scaffold_7_copy_1"
"OG0000297","AL7G34270","AL7G34270_TE4_v1_scaffold_7_copy_1"
"OG0000297","AL7G34270","AL7G34270_TE8_v1_scaffold_7_copy_1"
"OG0000297","AL7G34280",NA
"OG0000297","AL7G34290",NA
"OG0000320","AL3G14170","AL3G14170_AL27_v1_scaffold_3_copy_1"
"OG0000320","AL3G14170","AL3G14170_BOR_v1_scaffold_3_copy_1"
"OG0000320","AL3G14170","AL3G14170_F1-14_scaffold_3_copy_1"
"OG0000320","AL3G14170","AL3G14170_Nla_scaffold_3_copy_1"
"OG0000320","AL4G22780",NA
"OG0000347","AL2G34810",NA
